submitted_at,filled_at,canceled_at,symbol,asset_class,side,order_type,qty,filled_qty,filled_avg_price,limit_price,stop_price,status,id
2026-06-15 15:56:06.946953+00:00,2026-06-15 15:56:07.011580+00:00,,NET260717C00250000,us_option,buy,market,2,2,11.45,,,filled,7c9c7d9c-6839-4abd-8ff0-bc1555e412ee
2026-06-15 15:51:28.326270+00:00,2026-06-15 15:51:28.414559+00:00,,ORCL260717P00200000,us_option,sell,market,1,1,15.1,,,filled,27c65141-f591-4c3f-9530-db003645e049
2026-06-15 15:22:48.634084+00:00,2026-06-15 15:22:48.707374+00:00,,NEE260717C00087500,us_option,buy,market,1,1,1.81,,,filled,6c063403-caa7-41c3-9a9a-a89a070f2a59
2026-06-15 15:02:57.557166+00:00,2026-06-15 15:02:57.652837+00:00,,AMD260717C00430000,us_option,sell,market,1,1,127.6,,,filled,67d42cae-bf31-4736-873e-385acd1dcb5f
2026-06-15 15:02:52.339833+00:00,2026-06-15 15:02:54.182944+00:00,,LLY,us_equity,sell,market,4,4,1133.16,,,filled,568d23a3-c183-476c-88ed-37b0335e6218
2026-06-15 15:01:14.322275+00:00,2026-06-15 15:01:14.411869+00:00,,CVX260717P00190000,us_option,buy,market,2,2,11.2,,,filled,8a7b5227-3073-496a-958c-3939f816357e
2026-06-15 15:00:58.437774+00:00,2026-06-15 15:00:58.538977+00:00,,WBD260717C00027000,us_option,buy,market,1,1,1.37,,,filled,ad4e2e1b-cad3-4a72-89bd-215b8611829c
2026-06-15 15:00:42.269395+00:00,2026-06-15 15:00:42.390206+00:00,,XLE260717P00057000,us_option,buy,market,2,2,2.46,,,filled,4973fb05-9509-4105-804e-e238d43b8d3f
2026-06-15 15:00:24.356707+00:00,2026-06-15 15:00:24.402820+00:00,,SPY260710C00736000,us_option,buy,market,1,1,23.85,,,filled,a7c3c58b-a2ad-406e-ad2d-1c98e11eb48f
2026-06-15 15:00:03.826791+00:00,2026-06-15 15:00:03.858999+00:00,,XLK260717C00170000,us_option,buy,market,1,1,23.15,,,filled,2f4a3333-73f6-41d4-86d1-ff097fe856e4
2026-06-15 14:59:46.010775+00:00,2026-06-15 14:59:46.114866+00:00,,GOOGL260717C00375000,us_option,buy,market,1,1,12.35,,,filled,d2e6ecbf-4b9f-4903-a5e4-95873eda134b
2026-06-15 14:59:30.873347+00:00,2026-06-15 14:59:30.951398+00:00,,TGT260717C00125000,us_option,buy,market,2,2,12,,,filled,6258999e-9ad5-4ae6-8efb-6617b1aad5c9
2026-06-15 14:59:15.724376+00:00,2026-06-15 14:59:15.772611+00:00,,DIS260717C00105000,us_option,buy,market,1,1,1.49,,,filled,389786f3-8f26-4c53-9beb-c24f8557a395
2026-06-15 14:59:01.143401+00:00,2026-06-15 14:59:01.261350+00:00,,SCHW260717C00092500,us_option,buy,market,2,2,3.25,,,filled,127ddf63-bd4b-4c33-8bf1-5b5433bbfbb1
2026-06-15 14:58:46.656589+00:00,2026-06-15 14:58:46.904233+00:00,,BA260717C00230000,us_option,buy,market,2,2,8.95,,,filled,49bc7bfc-1130-4179-8ac5-262b39e8e1cf
2026-06-15 14:58:32.375709+00:00,2026-06-15 14:58:32.492111+00:00,,XOM260717P00155000,us_option,buy,market,1,1,14.9,,,filled,61e794b1-292e-40e4-892d-0913cb91b74c
2026-06-15 14:58:18.580368+00:00,2026-06-15 14:58:18.615032+00:00,,OXY260717P00055000,us_option,buy,market,2,2,2.39,,,filled,2a758caa-8588-4465-830f-8f34a9b4883b
2026-06-15 14:58:05.063008+00:00,2026-06-15 14:58:05.171720+00:00,,WFC260717C00085000,us_option,buy,market,1,1,2.71,,,filled,34a96d1b-2018-48f9-8786-4f95e025982f
2026-06-15 14:57:51.803854+00:00,2026-06-15 14:57:51.822755+00:00,,GE260717C00340000,us_option,buy,market,1,1,19.4,,,filled,1156ebce-3cfd-42e6-b115-04a7aebfb35f
2026-06-15 14:57:38.789673+00:00,2026-06-15 14:57:38.889913+00:00,,PFE260717C00026000,us_option,buy,market,1,1,0.9,,,filled,c7a427c0-8a42-4b64-aec6-a0b17b8b06a4
2026-06-15 14:57:25.965088+00:00,2026-06-15 14:57:26.026947+00:00,,IWM260710C00310000,us_option,buy,market,2,2,1.72,,,filled,cb6d4b91-bcd6-42a8-9a93-00ab9a716c1f
2026-06-15 14:57:13.554036+00:00,2026-06-15 14:57:13.664847+00:00,,META260717C00620000,us_option,buy,market,1,1,14.1,,,filled,f5fb9862-03d9-4d3b-890a-08bc2a5af444
2026-06-15 14:57:01.418115+00:00,2026-06-15 14:57:01.518072+00:00,,QQQ260710C00745000,us_option,buy,market,1,1,16.62,,,filled,8283c381-75ff-4961-9bef-28147a78d505
2026-06-15 14:56:49.644054+00:00,2026-06-15 14:56:49.727812+00:00,,BAC260717C00055000,us_option,buy,market,2,2,2.6,,,filled,77e3d247-cdbd-4f10-90ff-fb336a975040
2026-06-15 14:56:38.168473+00:00,2026-06-15 14:56:38.210423+00:00,,DIA260710C00516000,us_option,buy,market,2,2,9.45,,,filled,c1616781-a993-438e-aa0a-ba6b436ce434
2026-06-15 13:54:05.361810+00:00,2026-06-15 13:54:05.507335+00:00,,BAC260717C00057500,us_option,sell,market,1,1,1.24,,,filled,4a4d1bca-e329-48d5-960f-424b2f7b6712
2026-06-15 13:33:48.417525+00:00,2026-06-15 13:33:48.427714+00:00,,CVX260717C00195000,us_option,sell,market,1,1,1.2,,,filled,5a245328-aff7-40cc-a350-5b081c96b78c
2026-06-12 19:12:38.774684+00:00,2026-06-12 19:12:38.834095+00:00,,CVX260717C00195000,us_option,buy,market,1,1,3.7,,,filled,8cb106a7-5e56-47b6-bda0-bbd2b2a3c66e
2026-06-12 18:59:58.269462+00:00,2026-06-12 18:59:58.275597+00:00,,IWM260717C00296000,us_option,sell,market,1,1,6.96,,,filled,ced24914-b689-425a-9555-47ffea5bff2c
2026-06-12 14:01:21.312401+00:00,2026-06-12 14:01:21.377346+00:00,,PEP260717C00145000,us_option,buy,market,1,1,4.35,,,filled,c0a0da23-beb6-4198-93fc-1a4a8b061c0f
2026-06-12 14:01:09.361546+00:00,2026-06-12 14:01:09.391204+00:00,,SMH260717C00640000,us_option,buy,market,1,1,30.3,,,filled,aedd5a59-5661-46f7-8611-3c570d5e340c
2026-06-12 14:00:55.880346+00:00,2026-06-12 14:00:55.979443+00:00,,XLF260717C00054000,us_option,buy,market,1,1,0.7,,,filled,58628f46-a904-40fb-91e0-a646c9ed91cf
2026-06-12 14:00:43.900646+00:00,2026-06-12 14:00:43.953095+00:00,,JPM260717C00315000,us_option,buy,market,2,2,12.65,,,filled,567176b6-07ae-43ff-9397-9596f7bf471c
2026-06-12 14:00:31.972964+00:00,2026-06-12 14:00:32.024980+00:00,,ORCL260717P00200000,us_option,buy,market,1,1,25.35,,,filled,b04ddc37-d904-4a43-99b4-27b7da8aef45
2026-06-12 14:00:18.147985+00:00,2026-06-12 14:00:18.167365+00:00,,NFLX260717P00090000,us_option,buy,market,2,2,11.5,,,filled,17de01f9-62ff-4b1a-b80a-3fe938bc24a4
2026-06-12 14:00:05.159139+00:00,2026-06-12 14:00:05.219338+00:00,,TSLA260717C00370000,us_option,buy,market,1,1,41.95,,,filled,6159526a-1431-49ea-9476-c3d2d6589098
2026-06-12 13:47:01.646042+00:00,2026-06-12 13:47:01.759925+00:00,,NKE260717C00042500,us_option,sell,market,1,1,4.55,,,filled,338d4770-7214-4665-9f30-a6316846631a
2026-06-12 13:31:53.695735+00:00,2026-06-12 13:31:53.857967+00:00,,BA260717C00225000,us_option,sell,market,2,2,7.45,,,filled,985570ee-c4e0-4593-ae14-7fe9e1521087
2026-06-11 19:52:30.934727+00:00,2026-06-11 19:52:30.998759+00:00,,TXN260717C00300000,us_option,sell,market,2,2,16.9,,,filled,ac777ca2-bbb6-45db-af38-8fbbaae30962
2026-06-11 19:52:14.140753+00:00,2026-06-11 19:52:14.243501+00:00,,PFE260717C00026000,us_option,sell,market,1,1,0.88,,,filled,ad04fb6e-bd8f-4a88-af20-47917cc32369
2026-06-11 19:51:55.823004+00:00,2026-06-11 19:51:55.926088+00:00,,JNJ260717C00230000,us_option,sell,market,2,2,12.55,,,filled,9c9c10d2-966e-49cb-9d14-ee2e5f443851
2026-06-11 19:36:30.146421+00:00,2026-06-11 19:36:30.198683+00:00,,GOOGL260717P00345000,us_option,sell,market,2,2,8.45,,,filled,d3a35b1d-b7d1-49b6-a8b0-6e27fd7f5ddd
2026-06-11 18:47:13.534728+00:00,2026-06-11 18:47:13.595463+00:00,,DUK260717C00130000,us_option,sell,market,1,1,1.05,,,filled,832278f7-b097-483f-82aa-05ec73e825f6
2026-06-11 18:31:13.609633+00:00,2026-06-11 18:31:13.688064+00:00,,BA260717C00225000,us_option,buy,market,2,2,7.5,,,filled,291a41b7-3945-44a6-ae95-314ed0181942
2026-06-11 18:28:11.577418+00:00,2026-06-11 18:28:11.615252+00:00,,SAP260717P00195000,us_option,sell,market,3,3,30.6,,,filled,cc3080d1-03e3-49a5-831f-3e64bb9483de
2026-06-11 18:12:54.445697+00:00,2026-06-11 18:12:54.503299+00:00,,DUK260717C00130000,us_option,buy,market,1,1,1.35,,,filled,ac727f65-ad58-47bf-a3f2-5a818e707ec4
2026-06-11 18:12:43.723848+00:00,2026-06-11 18:12:43.784940+00:00,,SOFI260717P00016000,us_option,buy,market,2,2,1.05,,,filled,ea1033a9-d471-4779-90ad-50bfdf9ad030
2026-06-11 18:09:37.244599+00:00,2026-06-11 18:09:37.289832+00:00,,SMH260717C00620000,us_option,sell,market,2,2,29.6,,,filled,8b27e16f-f193-447e-a6d7-a8333d42a3d7
2026-06-11 18:09:34.386877+00:00,2026-06-11 18:09:34.528184+00:00,,TGT260717C00135000,us_option,sell,market,2,2,3.6,,,filled,b8c23ccd-ed71-4487-92b0-d779b2245dc7
