asset_id,symbol,exchange,asset_class,asset_marginable,qty,qty_available,avg_entry_price,side,market_value,cost_basis,unrealized_pl,unrealized_plpc,unrealized_intraday_pl,unrealized_intraday_plpc,current_price,lastday_price,change_today
4002e0b5-e9f8-443e-9ecd-eab6e921460b,WFC260717C00087500,,us_option,True,2,2,2.37,long,232,474,-242,-0.51055,-98,-0.29697,1.16,1.65,-0.29697
f22f16da-cc19-4627-882d-95c75d2aa8f3,WMT260717P00115000,,us_option,True,2,2,2.06,long,442,412,30,0.07282,14,0.03271,2.21,2.14,0.03271
2dc57bd8-9285-4899-a325-fa4829878ece,WMT260717P00120000,,us_option,True,1,1,4.6,long,495,460,35,0.07609,14,0.02911,4.95,4.81,0.02911
cf8116a5-4be5-4378-bb70-a694453cef40,XLE260717C00054000,,us_option,True,1,1,1.27,long,112,127,-15,-0.11811,-15,-0.11811,1.12,1.4,-0.2
607fd26c-7712-4e46-a2a2-a733ed5c932c,XLE260717P00054000,,us_option,True,2,2,1.44,long,230,288,-58,-0.20139,-14,-0.05738,1.15,1.22,-0.05738
5858992a-d50d-483f-93ed-f895398fa73d,XOM260717P00135000,,us_option,True,1,1,3,long,252,300,-48,-0.16,1,0.00398,2.52,2.51,0.00398
deace7b9-f1d6-4394-b2bb-4298b6172a9b,XOM260717P00138000,,us_option,True,1,1,4.05,long,380,405,-25,-0.06173,-13,-0.03308,3.8,3.93,-0.03308
3a85b28f-818c-4f76-b0cf-310848cf2f65,ZM260724P00083000,,us_option,True,1,1,3.7,long,197,370,-173,-0.46757,-123,-0.38438,1.97,3.2,-0.38438
a1e96fe2-e28c-41b4-80ad-81ebf449d5e4,ZM260724P00084000,,us_option,True,1,1,4.55,long,227,455,-228,-0.5011,-193,-0.45952,2.27,4.2,-0.45952
2f6a91da-475e-4f6d-86f5-51bb79c4cf61,ZS260710P00120000,,us_option,True,1,1,4.25,long,105,425,-320,-0.75294,-283,-0.72938,1.05,3.88,-0.72938
2264f617-f67b-4061-a22b-af4bf4023078,ZS260717P00120000,,us_option,True,1,1,4.85,long,200,485,-285,-0.58763,-282,-0.58506,2,4.82,-0.58506
